0	0.0 	0.00
1	0.0 	0.00
2	0.0 	0.21
3	1.5 	0.81
4	5.8 	1.16
5	9.9 	0.71
6	11.0 	0.14
7	10.9 	-0.18
8	9.7 	-0.39
9	8.1 	-0.29
10	7.6 	0.06
11	8.5 	0.42
12	10.6 	0.53
13	12.3 	0.49
14	14.1 	0.43
15	15.5 	0.26
16	16.0 	0.08
17	16.0 	-0.07
18	15.5 	-0.14
19	15.0 	-0.01
20	15.4 	0.18
21	16.3 	0.26
22	17.3 	0.33
23	18.6 	0.26
24	19.2 	0.13
25	19.6 	-0.12
26	18.3 	-0.39
27	16.8 	-0.37
28	15.7 	-0.24
29	15.0 	0.11
30	16.5 	0.38
31	17.8 	0.39
32	19.3 	0.24
33	19.5 	-0.18
34	18.0 	-0.69
35	14.5 	-0.93
36	11.3 	-0.53
37	10.7 	0.07
38	11.8 	0.52
39	14.5 	0.67
40	16.6 	0.52
41	18.2 	0.34
42	19.0 	0.07
43	18.7 	-0.27
44	17.1 	-0.54
45	14.8 	-0.55
46	13.1 	-0.33
47	12.4 	-0.11
48	12.4 	0.41
49	15.3 	0.63
50	16.9 	0.46
51	18.6 	0.33
52	19.2 	-0.18
53	17.3 	-0.80
54	13.5 	-0.85
55	11.2 	-0.48
56	10.0 	-0.06
57	10.7 	0.39
58	12.8 	0.65
59	15.4 	0.69
60	17.8 	0.48
61	18.9 	0.31
62	20.0 	0.15
63	19.9 	-0.43
64	16.9 	-0.93
65	13.2 	-0.92
66	10.2 	-0.59
67	9.0 	0.11
68	11.0 	0.69
69	14.0 	0.88
70	17.3 	0.71
71	19.1 	0.51
72	21.0 	0.46
73	22.4 	0.38
74	23.8 	0.22
75	24.0 	0.03
76	24.0 	0.07
77	24.5 	0.14
78	25.0 	0.12
79	25.4 	0.14
80	26.0 	0.22
81	27.0 	0.18
82	27.3 	0.14
83	28.0 	0.11
84	28.1 	0.14
85	29.0 	0.26
86	30.0 	0.01
87	29.1 	-0.13
88	29.0 	-0.01
89	29.0 	0.08
90	29.6 	0.09
91	29.7 	-0.16
92	28.5 	-0.34
93	27.2 	-0.38
94	25.7 	-0.30
95	25.0 	-0.12
96	24.9 	-0.14
97	24.0 	-0.12
98	24.0 	-0.05
99	23.6 	-0.14
100	23.0 	-0.23
101	22.0 	-0.42
102	20.0 	-0.52
103	18.2 	-0.41
104	17.0 	-0.17
105	17.0 	0.10
106	17.8 	0.30
107	19.1 	0.39
108	20.6 	0.44
109	22.3 	0.39
110	23.4 	0.31
111	24.6 	0.30
112	25.6 	0.29
113	26.7 	0.19
114	27.0 	0.05
115	27.0 	-0.05
116	26.7 	-0.24
117	25.3 	-0.35
118	24.2 	-0.33
119	22.9 	-0.31
120	21.9 	-0.31
121	20.7 	-0.32
122	19.7 	-0.24
123	19.0 	-0.09
124	19.0 	0.09
125	19.6 	0.35
126	21.5 	0.55
127	23.6 	0.64
128	26.1 	0.69
129	28.6 	0.49
130	29.6 	0.28
131	30.6 	0.20
132	31.0 	-0.08
133	30.0 	-0.14
134	30.0 	0.01
135	30.1 	0.14
136	31.0 	0.25
137	31.8 	0.24
138	32.7 	0.16
139	33.0 	0.02
140	32.9 	-0.21
141	31.5 	-0.29
142	30.8 	-0.29
143	29.4 	-0.51
144	27.1 	-0.75
145	24.0 	-0.91
146	20.5 	-0.98
147	17.0 	-0.70
148	15.5 	-0.27
149	15.0 	0.08
150	16.0 	0.36
151	17.6 	0.40
152	19.0 	0.47
153	21.0 	0.57
154	23.0 	0.49
155	24.5 	0.28
156	25.0 	0.21
157	26.0 	0.13
158	26.0 	0.00
159	26.0 	0.00
160	26.0 	0.16
161	27.2 	0.28
162	28.0 	0.25
163	29.0 	0.14
164	29.0 	0.01
165	29.0 	0.14
166	30.0 	0.28
167	31.0 	0.14
168	31.0 	0.00
169	31.0 	0.00
170	31.0 	0.11
171	31.8 	0.26
172	32.9 	0.03
173	32.0 	-0.15
174	31.8 	-0.14
175	31.0 	-0.09
176	31.1 	0.14
177	32.0 	0.25
178	32.9 	0.15
179	33.1 	0.15
180	34.0 	0.18
181	34.4 	0.14
182	35.0 	-0.03
183	34.1 	-0.14
184	34.0 	-0.14
185	33.1 	-0.14
186	33.0 	-0.11
187	32.4 	-0.24
188	31.3 	-0.19
189	31.0 	-0.04
190	31.0 	-0.08
191	30.4 	-0.21
192	29.5 	-0.30
193	28.3 	-0.25
194	27.7 	-0.18
195	27.0 	-0.10
196	27.0 	0.21
197	28.5 	0.40
198	29.9 	0.17
199	29.7 	-0.31
200	27.7 	-0.69
201	24.7 	-0.51
202	24.0 	-0.23
203	23.1 	-0.28
204	22.0 	-0.27
205	21.2 	-0.27
206	20.1 	-0.25
207	19.3 	-0.24
208	18.4 	-0.27
209	17.4 	-0.27
210	16.4 	-0.33
211	15.1 	-0.32
212	14.1 	-0.18
213	13.8 	-0.15
214	13.0 	-0.06
215	13.3 	0.24
216	14.7 	0.37
217	16.0 	0.32
218	17.0 	0.36
219	18.6 	0.47
220	20.4 	0.46
221	21.9 	0.36
222	23.0 	0.15
223	23.0 	0.00
224	23.0 	0.06
225	23.4 	0.23
226	24.7 	0.33
227	25.8 	0.11
228	25.5 	-0.27
229	23.9 	-0.34
230	23.0 	-0.14
231	22.8 	0.13
232	23.9 	0.41
233	25.8 	0.57
234	28.0 	0.63
235	30.3 	0.36
236	30.6 	-0.07
237	29.9 	-0.14
238	29.5 	0.02
239	30.0 	0.06
240	30.0 	0.00
241	30.0 	-0.11
242	29.2 	-0.31
243	27.7 	-0.36
244	26.6 	-0.50
245	24.1 	-0.78
246	21.0 	-0.94
247	17.4 	-1.00
248	13.8 	-0.72
249	12.2 	-0.25
250	12.0 	0.15
251	13.2 	0.43
252	15.1 	0.58
253	17.4 	0.50
254	18.6 	0.33
255	19.8 	0.24
256	20.4 	0.17
257	21.0 	0.22
258	22.0 	0.18
259	22.3 	0.01
260	22.0 	-0.04
261	22.0 	0.00
262	22.0 	0.00
263	22.0 	0.00
264	22.0 	0.13
265	23.0 	0.20
266	23.4 	0.14
267	24.0 	0.21
268	24.9 	0.25
269	25.8 	0.30
270	27.1 	0.46
271	29.1 	0.55
272	31.1 	0.63
273	33.7 	0.40
274	34.0 	-0.04
275	33.4 	-0.24
276	32.3 	-0.19
277	32.0 	0.00
278	32.3 	0.14
279	33.0 	0.20
280	33.7 	0.24
281	34.8 	0.32
282	36.0 	0.31
283	37.0 	0.14
284	37.0 	0.00
285	37.0 	0.00
286	37.0 	0.00
287	37.0 	0.05
288	37.4 	0.14
289	38.0 	0.21
290	38.9 	0.14
291	39.0 	0.02
292	39.0 	0.00
293	39.0 	-0.09
294	38.3 	-0.19
295	37.6 	-0.26
296	36.4 	-0.22
297	36.0 	-0.06
298	36.0 	0.00
299	36.0 	-0.13
300	35.0 	-0.14
301	35.0 	-0.10
302	34.3 	-0.14
303	34.0 	-0.04
304	34.0 	-0.17
305	32.7 	-0.37
306	31.3 	-0.32
307	30.4 	-0.50
308	27.8 	-1.05
309	22.9 	-0.96
310	20.8 	-0.40
311	20.0 	-0.20
312	19.4 	-0.14
313	19.0 	-0.08
314	18.8 	-0.08
315	18.4 	0.19
316	20.1 	0.60
317	22.8 	0.77
318	25.7 	0.84
319	28.8 	0.86
320	31.9 	0.82
321	34.7 	0.43
322	35.0 	0.00
323	34.7 	0.19
324	36.3 	0.43
325	37.8 	0.39
326	39.1 	0.36
327	40.4 	0.26
328	41.0 	0.02
329	40.6 	-0.22
330	39.4 	-0.32
331	38.2 	-0.33
332	37.1 	-0.27
333	36.3 	-0.15
334	36.0 	-0.04
335	36.0 	0.13
336	37.0 	0.23
337	37.7 	0.19
338	38.4 	0.19
339	39.0 	0.03
340	38.6 	0.12
341	39.9 	0.49
342	42.1 	0.57
343	44.0 	0.40
344	45.0 	0.29
345	46.0 	0.34
346	47.5 	0.52
347	49.8 	0.42
348	50.5 	0.01
349	49.8 	-0.07
350	50.0 	0.06
351	50.3 	0.14
352	51.0 	0.16
353	51.4 	0.14
354	52.0 	0.08
355	52.0 	0.00
356	52.0 	-0.01
357	52.0 	-0.04
358	51.7 	-0.09
359	51.3 	-0.12
360	50.8 	-0.22
361	49.8 	-0.32
362	48.5 	-0.19
363	48.4 	0.07
364	49.0 	0.20
365	49.9 	0.14
366	50.0 	0.02
367	50.0 	0.00
368	50.0 	0.00
369	50.0 	0.00
370	50.0 	0.05
371	50.4 	0.10
372	50.7 	0.09
373	51.0 	0.04
374	51.0 	0.00
375	51.0 	0.00
376	51.0 	0.03
377	51.2 	0.11
378	51.8 	0.11
379	52.0 	0.03
380	52.0 	0.00
381	52.0 	0.00
382	52.0 	0.00
383	52.0 	-0.08
384	51.5 	-0.20
385	50.6 	-0.29
386	49.4 	-0.48
387	47.1 	-0.75
388	43.9 	-1.22
389	38.3 	-1.81
390	30.9 	-2.39
391	21.1 	-1.77
392	18.1 	-0.49
393	17.6 	0.17
394	19.3 	0.73
395	22.8 	0.99
396	26.5 	0.95
397	29.7 	0.93
398	33.2 	0.51
399	33.4 	0.00
400	33.2 	0.15
401	34.4 	0.45
